Time;Grid voltage URS;Grid voltage UST;Grid voltage magnitude;Grid voltage magnitude filtered;DC link current;Control angle grid unlimited;Control angle grid;Control angle grid lower limit;Control angle grid upper limit;DC1 end position request;DC2 end position request;End position request causes;Control angle motor;PLL grid angle error;Notch mask grid;Grid frequency;Grid frequency filtered;Grid integrator angle;Speed;Excitation Ref Mode;PulseMode;DC link current filtered;DC reference limited;DC error;Release pulses grid;Pulse block causes;
0.0580250;-0.0119062;-0.859978;0.999962;0.999948;0.000627020;1.57393;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;-1.41084e-05;0.0;1.0;1.00001;-2.02382;0.249986;0.0;0.0;0.000731818;0.0;-0.000627020;0.0;0.0;
0.0590250;0.297656;-0.975556;0.999952;0.999969;0.000731523;1.57445;2.61982;0.087;2.61982;1.0;0.0;1.0;2.58948;-1.24787e-05;0.0;1.0;0.999986;-1.70967;0.249944;0.0;0.0;0.000691686;0.0;-0.000731523;0.0;0.0;
0.0600250;0.578062;-0.995651;0.999952;0.999972;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;-3.3454e-05;0.0;0.99999;0.999987;-1.39551;0.249934;0.0;0.0;0.000728015;0.0;-0.000731523;0.0;0.0;
0.0610250;0.801957;-0.91829;0.999975;0.999969;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;2.28303e-05;0.0;1.00002;1.00001;-1.08135;0.249942;0.0;0.0;0.000733346;0.0;-0.000731523;0.0;0.0;
0.0620250;0.947271;-0.751022;0.999957;0.999969;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;-1.34588e-07;0.0;1.00001;1.0;-0.767191;0.249936;0.0;0.0;0.000713115;0.0;-0.000731523;0.0;0.0;
0.0630250;0.999891;-0.510225;0.999961;0.999969;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;2.64876e-05;0.0;1.00002;1.00001;-0.453029;0.249953;0.0;0.0;0.000720894;0.0;-0.000731523;0.0;0.0;
0.0640250;0.954647;-0.219539;0.999977;0.999965;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;-1.2426e-05;0.0;1.0;1.0;-0.138867;0.249928;0.0;0.0;0.000733674;0.0;-0.000731523;0.0;0.0;
0.0650250;0.815954;0.0926363;0.999966;0.999971;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;-5.53305e-05;0.0;0.999979;0.999988;0.175294;0.249932;0.0;0.0;0.000723986;0.0;-0.000731523;0.0;0.0;
0.0660250;0.597344;0.395809;0.999946;0.99995;0.000731523;1.57445;2.61982;0.087;2.61982;1.0;0.0;1.0;2.58948;-9.80740e-06;0.0;1.0;0.999996;0.489449;0.249932;0.0;0.0;0.000699761;0.0;-0.000731523;0.0;0.0;
0.0670250;0.320307;0.660186;0.999936;0.999945;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;-1.82572e-05;0.0;0.999997;1.0;0.803608;0.249942;0.0;0.0;0.000734431;0.0;-0.000731523;0.0;0.0;
0.0680250;0.0118481;0.859978;0.999928;0.999945;0.000627020;1.57393;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;4.60205e-05;0.0;1.00003;1.00002;1.11777;0.249935;0.0;0.0;0.000731818;0.0;-0.000627020;0.0;0.0;
0.0690250;-0.297656;0.975556;0.999952;0.999963;0.000731523;1.57445;2.61982;0.087;2.61982;1.0;0.0;1.0;2.58948;-1.2625e-05;0.0;1.0;0.999994;1.43193;0.249953;0.0;0.0;0.000691686;0.0;-0.000731523;0.0;0.0;
0.0700250;-0.578062;0.995651;0.999952;0.999969;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;-3.50223e-05;0.0;0.999988;0.999985;1.74608;0.249944;0.0;0.0;0.000728015;0.0;-0.000731523;0.0;0.0;
0.0710250;-0.801957;0.91829;0.999975;0.999973;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;2.03726e-05;0.0;1.00002;1.0;2.06024;0.249923;0.0;0.0;0.000733346;0.0;-0.000731523;0.0;0.0;
0.0720250;-0.947271;0.751022;0.999957;0.999972;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;-1.63847e-07;0.0;1.00001;1.0;2.3744;0.249939;0.0;0.0;0.000713115;0.0;-0.000731523;0.0;0.0;
0.0730250;-0.999891;0.510225;0.999961;0.999971;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;2.71137e-05;0.0;1.00002;1.00001;2.68856;0.24995;0.0;0.0;0.000720894;0.0;-0.000731523;0.0;0.0;
0.0740250;-0.954647;0.219539;0.999977;0.999971;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;-1.14020e-05;0.0;1.0;1.00001;3.00272;0.249947;0.0;0.0;0.000733674;0.0;-0.000731523;0.0;0.0;
0.0750250;-0.815954;-0.0926363;0.999966;0.999973;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;-5.44206e-05;0.0;0.999978;0.999988;-2.9663;0.249941;0.0;0.0;0.000723986;0.0;-0.000731523;0.0;0.0;
0.0760250;-0.597344;-0.395809;0.999946;0.999956;0.000731523;1.57445;2.61982;0.087;2.61982;1.0;0.0;1.0;2.58948;-8.31523e-06;0.0;1.0;0.999995;-2.65215;0.249945;0.0;0.0;0.000699761;0.0;-0.000731523;0.0;0.0;
0.0770250;-0.320307;-0.660186;0.999936;0.999952;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;-1.61448e-05;0.0;0.999997;0.999999;-2.33799;0.249942;0.0;0.0;0.000734431;0.0;-0.000731523;0.0;0.0;
0.0780250;-0.0119062;-0.859978;0.999962;0.999948;0.000627020;1.57393;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;-9.23394e-06;0.0;1.0;1.00001;-2.02382;0.249952;0.0;0.0;0.000731818;0.0;-0.000627020;0.0;0.0;
0.0790250;0.297656;-0.975556;0.999952;0.999969;0.000731523;1.57445;2.61982;0.087;2.61982;1.0;0.0;1.0;2.58948;-7.41699e-06;0.0;1.0;0.999986;-1.70967;0.249942;0.0;0.0;0.000691686;0.0;-0.000731523;0.0;0.0;
