Time;input.current_ref_limited;input.dc_current_actual;output.control_angle;output.pi_controller_output;output.error;
0.126025;0.01;0.0112864;0.250441;-0.00277319;-0.00128635;
0.127025;0.01;0.000731523;0.243695;0.0396035;0.00926848;
0.128025;0.01;0.000731523;0.243666;0.0397894;0.00926848;
0.129025;0.01;0.0180791;0.254707;-0.0295729;-0.00807907;
0.130025;0.01;0.0229907;0.257892;-0.0495684;-0.0129907;
0.131025;0.01;0.000731523;0.243701;0.0395654;0.00926848;
0.132025;0.01;0.000731523;0.243672;0.0397508;0.00926848;
0.133025;0.01;0.0115999;0.250614;-0.00386062;-0.00159986;
0.134025;0.01;0.000627020;0.243601;0.0401942;0.00937298;
0.135025;0.01;0.000731523;0.243638;0.0399621;0.00926848;
0.136025;0.01;0.0119134;0.250757;-0.00475920;-0.00191337;
0.137025;0.01;0.000731523;0.243613;0.0401183;0.00926848;
0.138025;0.01;0.000731523;0.243584;0.0403042;0.00926848;
0.139025;0.01;0.0198556;0.255758;-0.0361699;-0.00985562;
0.140025;0.01;0.032814;0.2641;-0.0884783;-0.022814;
0.141025;0.01;0.000731523;0.24366;0.0398244;0.00926848;
0.142025;0.01;0.000731523;0.243631;0.0400098;0.00926848;
0.143025;0.01;0.0164070;0.253642;-0.0228804;-0.00640702;
0.144025;0.01;0.000627020;0.243574;0.0403675;0.00937298;
0.145025;0.01;0.000731523;0.243611;0.0401353;0.00926848;
0.146025;0.01;0.0131674;0.25153;-0.00961122;-0.00316741;
0.147025;0.01;0.000731523;0.243589;0.0402676;0.00926848;
0.148025;0.01;0.000731523;0.24356;0.0404534;0.00926848;
0.149025;0.01;0.0215277;0.256798;-0.0426984;-0.0115277;
0.150025;0.01;0.0439959;0.271262;-0.133195;-0.0339959;
0.151025;0.01;0.00146305;0.244159;0.036693;0.00853695;
0.152025;0.01;0.000731523;0.243663;0.0398045;0.00926848;
0.153025;0.01;0.0220502;0.257279;-0.0457167;-0.0120502;
0.154025;0.01;0.000627020;0.243626;0.0400384;0.00937298;
0.155025;0.01;0.000731523;0.243663;0.0398062;0.00926848;
0.156025;0.01;0.0150485;0.252782;-0.0174779;-0.00504847;
0.157025;0.01;0.000731523;0.243647;0.0399034;0.00926848;
0.158025;0.01;0.000731523;0.243618;0.0400893;0.00926848;
0.159025;0.01;0.0115999;0.250529;-0.00332381;-0.00159986;
0.160025;0.01;0.000731523;0.243597;0.0402215;0.00926848;
0.161025;0.01;0.000731523;0.243567;0.0404087;0.00926848;
0.162025;0.01;0.000731523;0.243537;0.0405941;0.00926848;
0.163025;0.01;0.0300969;0.262297;-0.0771901;-0.0200969;
0.164025;0.01;0.000731523;0.243601;0.0401965;0.00926848;
0.165025;0.01;0.000731523;0.243571;0.0403824;0.00926848;
0.166025;0.01;0.0173475;0.254157;-0.0261155;-0.00734754;
0.167025;0.01;0.000731523;0.243565;0.0404239;0.00926848;
0.168025;0.01;0.000731523;0.243535;0.0406098;0.00926848;
0.169025;0.01;0.0118089;0.250580;-0.00364169;-0.00180887;
0.170025;0.01;0.000731523;0.243516;0.0407313;0.00926848;
0.171025;0.01;0.000731523;0.243486;0.0409175;0.00926848;
0.172025;0.01;0.000731523;0.243456;0.0411028;0.00926848;
0.173025;0.01;0.0373077;0.266838;-0.105597;-0.0273077;
0.174025;0.01;0.00114954;0.243827;0.0387774;0.00885046;
0.175025;0.01;0.000731523;0.243531;0.0406338;0.00926848;
0.176025;0.01;0.0203781;0.256051;-0.0380082;-0.0103781;
0.177025;0.01;0.000731523;0.243538;0.0405886;0.00926848;
0.178025;0.01;0.000731523;0.243509;0.0407745;0.00926848;
0.179025;0.01;0.0122269;0.250820;-0.00515247;-0.00222688;
0.180025;0.01;0.000731523;0.243493;0.0408730;0.00926848;
0.181025;0.01;0.000731523;0.243463;0.0410592;0.00926848;
0.182025;0.01;0.000731523;0.243434;0.0412445;0.00926848;
0.183025;0.01;0.0456679;0.27219;-0.138971;-0.0356679;
0.184025;0.01;0.0182881;0.254772;-0.0299758;-0.00828807;
0.185025;0.01;0.000731523;0.243566;0.0404136;0.00926848;
0.186025;0.01;0.0238267;0.258287;-0.0520473;-0.0138267;
0.187025;0.01;0.00146305;0.244060;0.0373148;0.00853695;
0.188025;0.01;0.000731523;0.243564;0.0404268;0.00926848;
0.189025;0.01;0.0128539;0.251275;-0.00801318;-0.00285390;
0.190025;0.01;0.000940529;0.243688;0.0396514;0.00905947;
0.191025;0.01;0.000731523;0.243525;0.0406736;0.00926848;
0.192025;0.01;0.000731523;0.243495;0.0408590;0.00926848;
0.193025;0.01;0.00177656;0.244166;0.0366495;0.00822344;
0.194025;0.01;0.000627020;0.243404;0.0414327;0.00937298;
0.195025;0.01;0.000731523;0.243441;0.0412006;0.00926848;
0.196025;0.01;0.0282159;0.260965;-0.0688438;-0.0182159;
0.197025;0.01;0.00783775;0.248024;0.012417;0.00216225;
0.198025;0.01;0.000731523;0.243468;0.0410281;0.00926848;
0.199025;0.01;0.0136899;0.251713;-0.0107618;-0.00368993;
0.200025;0.01;0.00114954;0.243735;0.0393565;0.00885046;
0.201025;0.01;0.000731523;0.243439;0.0412145;0.00926848;
0.202025;0.01;0.000731523;0.243409;0.0413999;0.00926848;
0.203025;0.01;0.00282159;0.244747;0.0329979;0.00717841;
0.204025;0.01;0.000627020;0.24332;0.04196;0.00937298;
0.205025;0.01;0.000731523;0.243357;0.0417279;0.00926848;
0.206025;0.01;0.0326050;0.263689;-0.0859016;-0.0226050;
0.207025;0.01;0.0202736;0.255891;-0.0370059;-0.0102736;
0.208025;0.01;0.000731523;0.243425;0.0412998;0.00926848;
0.209025;0.01;0.0148395;0.252403;-0.0150955;-0.00483947;
0.210025;0.01;0.00553867;0.246501;0.021984;0.00446133;
