Time;Motor voltage URS;Motor voltage UST;Motor voltage magnitude;Motor voltage magnitude filtered;DC link current;Flux X;Flux Y;Flux angle;Flux magnitude;Rotor position flux;Rotor position plant;Control angle motor;PLL motor angle error;Notch mask motor;Motor frequency;Motor frequency filtered;Motor integrator angle;Speed;Excitation Ref Mode;PulseMode;DC link current filtered;DC reference limited;DC error;DC voltage;Pulse block causes;
0.0610250;-0.0224614;0.226967;0.250122;0.250149;0.000731523;0.0;0.0;0.0;0.0;0.0;0.931313;2.58948;-0.000650094;0.0;0.24994;0.249942;1.14808;0.249942;0.0;0.0;0.000733346;0.0;-0.000731523;-0.183929;0.0;
0.0620250;-0.0322126;0.230935;0.250146;0.250149;0.000731523;0.0;0.0;0.0;0.0;0.0;0.937563;2.58948;-0.000699957;0.0;0.249928;0.249936;1.18734;0.249936;0.0;0.0;0.000713115;0.0;-0.000731523;-0.183946;0.0;
0.0630250;-0.0419637;0.234567;0.250171;0.250152;0.000731523;0.0;0.0;0.0;0.0;0.0;0.943813;2.58948;-0.000556333;0.0;0.249953;0.249953;1.2266;0.249953;0.0;0.0;0.000720894;0.0;-0.000731523;-0.183965;0.0;
0.0640250;-0.0515804;0.237795;0.250177;0.250148;0.000731523;0.0;0.0;0.0;0.0;0.0;0.950063;2.58948;-0.000690269;0.0;0.249925;0.249928;1.26586;0.249928;0.0;0.0;0.000733674;0.0;-0.000731523;-0.183969;0.0;
0.0650250;-0.0611299;0.240619;0.250134;0.250144;0.000731523;0.0;0.0;0.0;0.0;0.0;0.956313;2.58948;-0.000725865;0.0;0.249916;0.249932;1.30512;0.249932;0.0;0.0;0.000723986;0.0;-0.000731523;-0.183938;0.0;
0.0660250;-0.0706121;0.243107;0.250122;0.250146;0.000731523;0.0;0.0;0.0;0.0;0.0;0.962563;2.58948;-0.000672694;0.0;0.249924;0.249932;1.34438;0.249932;0.0;0.0;0.000699761;0.0;-0.000731523;-0.183929;0.0;
0.0670250;-0.0800270;0.245259;0.250144;0.250150;0.000731523;0.0;0.0;0.0;0.0;0.0;0.968813;2.58948;-0.000484893;0.0;0.249957;0.249942;1.38364;0.249942;0.0;0.0;0.000734431;0.0;-0.000731523;-0.183945;0.0;
0.0680250;-0.0892402;0.247008;0.250156;0.250153;0.000627020;0.0;0.0;0.0;0.0;0.0;0.975063;2.58948;-0.000619944;0.0;0.249929;0.249935;1.4229;0.249935;0.0;0.0;0.000731818;0.0;-0.000627020;-0.183954;0.0;
0.0690250;-0.0983861;0.248353;0.250132;0.250153;0.000731523;0.0;0.0;0.0;0.0;0.0;0.981313;2.58948;-0.000393759;0.0;0.24997;0.249953;1.46216;0.249953;0.0;0.0;0.000691686;0.0;-0.000731523;-0.183936;0.0;
0.0700250;-0.107330;0.249361;0.250165;0.250149;0.000731523;0.0;0.0;0.0;0.0;0.0;0.987563;2.58948;-0.000486037;0.0;0.249951;0.249944;1.50142;0.249944;0.0;0.0;0.000728015;0.0;-0.000731523;-0.183961;0.0;
0.0710250;-0.116073;0.249967;0.250178;0.250153;0.000731523;0.0;0.0;0.0;0.0;0.0;0.993813;2.58948;-0.000714422;0.0;0.249905;0.249923;1.54068;0.249923;0.0;0.0;0.000733346;0.0;-0.000731523;-0.183971;0.0;
0.0720250;-0.124681;0.250168;0.250169;0.250149;0.000731523;0.0;0.0;0.0;0.0;0.0;6.31511e-05;2.58948;-0.000699919;0.0;0.249906;0.249939;1.57994;0.249939;0.0;0.0;0.000713115;0.0;-0.000731523;-0.183964;0.0;
0.0730250;-0.133154;0.249967;0.250145;0.250151;0.000731523;0.0;0.0;0.0;0.0;0.0;0.00631315;2.58948;-0.000371341;0.0;0.249967;0.24995;1.6192;0.24995;0.0;0.0;0.000720894;0.0;-0.000731523;-0.183946;0.0;
0.0740250;-0.141359;0.249429;0.250168;0.250147;0.000731523;0.0;0.0;0.0;0.0;0.0;0.0125631;2.58948;-0.000456989;0.0;0.249949;0.249947;1.65846;0.249947;0.0;0.0;0.000733674;0.0;-0.000731523;-0.183963;0.0;
0.0750250;-0.149361;0.248487;0.250174;0.250153;0.000731523;0.0;0.0;0.0;0.0;0.0;0.0188131;2.58948;-0.000425580;0.0;0.249953;0.249941;1.69772;0.249941;0.0;0.0;0.000723986;0.0;-0.000731523;-0.183967;0.0;
