Time;input.control_angle_pu;output.upper_limit_pu;output.lower_limit_pu;output.limited_control_angle_pu;output.limit_active;
0.0470250;0.243941;0.416564;0.0138465;0.243941;0.0;
0.0480250;0.243912;0.416965;0.0138465;0.243912;0.0;
0.0490250;0.257149;0.416939;0.0138465;0.257149;0.0;
0.0500250;0.271684;0.415898;0.0138465;0.271684;0.0;
0.0510250;0.244511;0.415289;0.0138465;0.244511;0.0;
0.0520250;0.244015;0.416758;0.0138465;0.244015;0.0;
0.0530250;0.257631;0.416585;0.0138465;0.257631;0.0;
0.0540250;0.243978;0.416207;0.0138465;0.243978;0.0;
0.0550250;0.244015;0.416957;0.0138465;0.244015;0.0;
0.0560250;0.253134;0.416856;0.0138465;0.253134;0.0;
0.0570250;0.244;0.4165;0.0138465;0.244;0.0;
0.0580250;0.24397;0.416956;0.0138465;0.24397;0.0;
0.0590250;0.250081;0.416947;0.0138465;0.250081;0.0;
0.0600250;0.243947;0.416544;0.0138465;0.243947;0.0;
0.0610250;0.243917;0.416911;0.0138465;0.243917;0.0;
0.0620250;0.243887;0.416976;0.0138465;0.243887;0.0;
0.0630250;0.261846;0.416488;0.0138465;0.261846;0.0;
0.0640250;0.243946;0.415927;0.0138465;0.243946;0.0;
0.0650250;0.243916;0.416871;0.0138465;0.243916;0.0;
0.0660250;0.254502;0.41687;0.0138465;0.254502;0.0;
0.0670250;0.24391;0.416403;0.0138465;0.24391;0.0;
0.0680250;0.24388;0.416934;0.0138465;0.24388;0.0;
0.0690250;0.250924;0.416948;0.0138465;0.250924;0.0;
0.0700250;0.243861;0.416503;0.0138465;0.243861;0.0;
0.0710250;0.243831;0.416902;0.0138465;0.243831;0.0;
0.0720250;0.243802;0.416978;0.0138465;0.243802;0.0;
0.0730250;0.266246;0.416454;0.0138465;0.266246;0.0;
0.0740250;0.243499;0.415615;0.0138465;0.243499;0.0;
0.0750250;0.243869;0.416693;0.0138465;0.243869;0.0;
0.0760250;0.256389;0.416891;0.0138465;0.256389;0.0;
0.0770250;0.243877;0.416271;0.0138465;0.243877;0.0;
0.0780250;0.243847;0.416882;0.0138465;0.243847;0.0;
0.0790250;0.251158;0.416959;0.0138465;0.251158;0.0;
0.0800250;0.243831;0.416472;0.0138465;0.243831;0.0;
0.0810250;0.243802;0.416883;0.0138465;0.243802;0.0;
0.0820250;0.243772;0.416981;0.0138465;0.243772;0.0;
0.0830250;0.27233;0.41642;0.0138465;0.27233;0.0;
0.0840250;0.254976;0.415194;0.0138465;0.254976;0.0;
0.0850250;0.243904;0.416288;0.0138465;0.243904;0.0;
0.0860250;0.258625;0.416919;0.0138465;0.258625;0.0;
0.0870250;0.244398;0.416116;0.0138465;0.244398;0.0;
0.0880250;0.243902;0.416772;0.0138465;0.243902;0.0;
0.0890250;0.251613;0.416974;0.0138465;0.251613;0.0;
0.0900250;0.244025;0.416426;0.0138465;0.244025;0.0;
0.0910250;0.243863;0.416849;0.0138465;0.243863;0.0;
0.0920250;0.243833;0.416986;0.0138465;0.243833;0.0;
0.0930250;0.244305;0.416641;0.0138465;0.244305;0.0;
0.0940250;0.243742;0.416775;0.0138465;0.243742;0.0;
0.0950250;0.243779;0.416986;0.0138465;0.243779;0.0;
0.0960250;0.261305;0.416812;0.0138465;0.261305;0.0;
0.0970250;0.248362;0.415917;0.0138465;0.248362;0.0;
0.0980250;0.243807;0.416575;0.0138465;0.243807;0.0;
0.0990250;0.252051;0.416986;0.0138465;0.252051;0.0;
0.100025;0.244073;0.416366;0.0138465;0.244073;0.0;
0.101025;0.243777;0.41678;0.0138465;0.243777;0.0;
0.102025;0.243748;0.416986;0.0138465;0.243748;0.0;
0.103025;0.244953;0.416633;0.0138465;0.244953;0.0;
0.104025;0.243659;0.416756;0.0138465;0.243659;0.0;
0.105025;0.243696;0.416986;0.0138465;0.243696;0.0;
0.106025;0.264029;0.416807;0.0138465;0.264029;0.0;
0.107025;0.25623;0.415716;0.0138465;0.25623;0.0;
0.108025;0.243764;0.416234;0.0138465;0.243764;0.0;
0.109025;0.252742;0.416986;0.0138465;0.252742;0.0;
0.110025;0.24684;0.416297;0.0138465;0.24684;0.0;
0.111025;0.243749;0.416666;0.0138465;0.243749;0.0;
0.112025;0.243719;0.416986;0.0138465;0.243719;0.0;
0.113025;0.246193;0.416622;0.0138465;0.246193;0.0;
0.114025;0.243634;0.416725;0.0138465;0.243634;0.0;
0.115025;0.243671;0.416986;0.0138465;0.243671;0.0;
0.116025;0.26735;0.416816;0.0138465;0.26735;0.0;
0.117025;0.265311;0.415487;0.0138465;0.265311;0.0;
0.118025;0.243796;0.415724;0.0138465;0.243796;0.0;
0.119025;0.252506;0.416975;0.0138465;0.252506;0.0;
0.120025;0.251274;0.416273;0.0138465;0.251274;0.0;
0.121025;0.243794;0.41651;0.0138465;0.243794;0.0;
0.122025;0.243765;0.416986;0.0138465;0.243765;0.0;
0.123025;0.248173;0.416606;0.0138465;0.248173;0.0;
0.124025;0.243685;0.416662;0.0138465;0.243685;0.0;
0.125025;0.243722;0.416986;0.0138465;0.243722;0.0;
0.126025;0.250441;0.416848;0.0138465;0.250441;0.0;
0.127025;0.243695;0.416631;0.0138465;0.243695;0.0;
0.128025;0.243666;0.416975;0.0138465;0.243666;0.0;
0.129025;0.254707;0.416932;0.0138465;0.254707;0.0;
0.130025;0.257892;0.416103;0.0138465;0.257892;0.0;
0.131025;0.243701;0.416172;0.0138465;0.243701;0.0;
0.132025;0.243672;0.416986;0.0138465;0.243672;0.0;
0.133025;0.250614;0.416594;0.0138465;0.250614;0.0;
0.134025;0.243601;0.416566;0.0138465;0.243601;0.0;
0.135025;0.243638;0.416986;0.0138465;0.243638;0.0;
0.136025;0.250757;0.416848;0.0138465;0.250757;0.0;
0.137025;0.243613;0.41661;0.0138465;0.243613;0.0;
0.138025;0.243584;0.416971;0.0138465;0.243584;0.0;
0.139025;0.255758;0.416933;0.0138465;0.255758;0.0;
0.140025;0.2641;0.415998;0.0138465;0.2641;0.0;
