Time;I_a_motor_pu;I_c_motor_pu;U_ab_for_pll_motor;U_bc_for_pll_motor;PLL_error_motor;filtered_frequency_motor;frequency_motor;flux_angle;flux_magnitude;flux_x;flux_y;absolute_speed;motor_voltage_magnitude;dc_voltage;motor_overlap_mask;cos_phi;flux_rotor_frequency;flux_rotor_position;release_pulses;pulse_block_causes;rotor_position_plant;Integrator_angle_motor;R+_motor;S+_motor;T+_motor;R-_motor;S-_motor;T-_motor;dc_voltage_plant;motor_notch_mask_active;
0.0243628;7.83151e-05;5.53536e-05;-0.133323;0.126392;6.10300e-05;0.150252;0.150248;1.85441;0.556838;-0.155821;0.534592;0.0126013;0.150107;-0.109041;0.000206303;-0.84112;0.0126013;1.85441;0.0;0.0;0.575108;2.14908;0.0;0.0;0.0;0.0;0.0;0.0;3.25717e-16;0.0;
0.0251004;8.02312e-05;5.31822e-05;-0.134521;0.124942;3.16663e-05;0.150203;0.150185;1.86325;0.573802;-0.165429;0.549438;0.0133236;0.150107;-0.109045;0.000206591;-0.841152;0.0133236;1.86325;0.0;0.0;0.592485;2.16648;0.0;0.0;0.0;0.0;0.0;0.0;5.69865e-16;0.0;
0.0258379;8.21223e-05;5.09943e-05;-0.135677;0.123452;7.21219e-06;0.150061;0.150060;1.87209;0.590721;-0.175298;0.564111;0.150061;0.150107;-0.109825;0.000207134;-0.847169;0.0140560;1.87209;0.0;0.0;0.609862;2.18388;0.0;0.0;0.0;0.0;0.0;0.0;3.93618e-16;0.0;
0.0265754;8.39877e-05;4.87905e-05;-0.136791;0.121924;-1.40148e-06;0.150059;0.150059;1.88092;0.607594;-0.185424;0.578609;0.150059;0.150107;-0.109825;0.000207166;-0.847169;0.0147977;1.88092;0.0;0.0;0.627239;2.20126;0.0;0.0;0.0;0.0;0.0;0.0;4.72628e-16;0.0;
0.0273129;8.58272e-05;4.65714e-05;-0.137862;0.120358;-8.22745e-06;0.150058;0.150057;1.88976;0.624419;-0.195806;0.592925;0.150058;0.150107;-0.109825;0.000206761;-0.847167;0.015548;1.88976;0.0;0.0;0.644616;2.21864;0.0;0.0;0.0;0.0;0.0;0.0;3.77229e-16;0.0;
0.0280504;8.76396e-05;4.43378e-05;-0.138889;0.118754;-1.48779e-05;0.150056;0.150056;1.89859;0.641196;-0.206438;0.607055;0.150056;0.150107;-0.109825;0.000206522;-0.847165;0.0163061;1.89859;0.0;0.0;0.661993;2.23603;0.0;0.0;0.0;0.0;0.0;0.0;3.21823e-16;0.0;
0.0287879;8.94247e-05;4.20903e-05;-0.139874;0.117113;-2.11918e-05;0.150055;0.150055;1.90743;0.657923;-0.217319;0.620995;0.150055;0.150107;-0.109825;0.000206959;-0.847168;0.0170716;1.90743;0.0;0.0;0.67937;2.25341;0.0;0.0;0.0;0.0;0.0;0.0;2.87928e-16;0.0;
0.0295254;9.08911e-05;4.02073e-05;-0.140815;0.115436;-2.77369e-05;0.150054;0.150054;1.91627;0.674598;-0.228444;0.634741;0.150054;0.150107;-0.109825;0.000207198;-0.847169;0.0178437;1.91627;0.0;0.0;0.696746;2.27079;0.0;0.0;0.0;0.0;0.0;0.0;9.27009e-17;0.0;
0.0302629;9.26246e-05;3.79363e-05;-0.141565;0.114010;-3.29947e-05;0.150053;0.150052;1.92363;0.688454;-0.2379;0.646044;0.150053;0.150107;-0.109825;0.000207039;-0.847168;0.0184917;1.92363;0.0;0.0;0.714123;2.28818;0.0;0.0;0.0;0.0;0.0;0.0;8.32121e-17;0.0;
0.0310005;9.43291e-05;3.56533e-05;-0.142425;0.112267;-3.92706e-05;0.150052;0.150051;1.93246;0.705032;-0.249465;0.659422;0.150052;0.150107;-0.109825;0.000206570;-0.847165;0.0192743;1.93246;0.0;0.0;0.7315;2.30556;0.0;0.0;0.0;0.0;0.0;0.0;-1.19626e-16;0.0;
0.0317379;9.60041e-05;3.33594e-05;-0.14324;0.110489;-4.49994e-05;0.150050;0.150050;1.9413;0.721555;-0.261264;0.672594;0.150050;0.150107;-0.109825;0.000206658;-0.847166;0.0200618;1.9413;0.0;0.0;0.748877;2.32294;0.0;0.0;0.0;0.0;0.0;0.0;-1.41174e-16;0.0;
